# THz field strength [%]	rectified current [e/pulse]	
9.599791963847386000e+01	4.942456250000000750e+01
9.500073516985074207e+01	4.633681250000000773e+01
9.399902034063241274e+01	4.390493750000000972e+01
9.300152161529324246e+01	4.154462500000001057e+01
9.199994335979612003e+01	3.870743750000000460e+01
9.099760546627261704e+01	3.566762500000000102e+01
9.000518179839234278e+01	3.391525000000000745e+01
8.899968577342792742e+01	3.166218750000000171e+01
8.799761900299928641e+01	2.993362500000000637e+01
8.700503830337761713e+01	2.790706250000000566e+01
8.600334251640067862e+01	2.598781250000000398e+01
8.499563479479380135e+01	2.465268750000000253e+01
8.399766893612097363e+01	2.343662500000000293e+01
8.300008339804683999e+01	2.179156250000000483e+01
8.200548497424777850e+01	2.081406250000000213e+01
8.100264663308163904e+01	1.989612500000000139e+01
7.999308969208705378e+01	1.866825000000000401e+01
7.900672271959246018e+01	1.736887500000000273e+01
7.800303814080552911e+01	1.633174999999999955e+01
7.699732724467892808e+01	1.544962500000000283e+01
7.600577550118715919e+01	1.444825000000000337e+01
7.500000000000001421e+01	1.361381250000000165e+01
7.399586432104801759e+01	1.286275000000000190e+01
7.299449253603806653e+01	1.204018750000000182e+01
7.199695849279575555e+01	1.102687500000000043e+01
7.100428642059031858e+01	1.014475000000000193e+01
7.000145686186324667e+01	9.453312500000000895e+00
6.900509926198333233e+01	8.857312500000000810e+00
6.799984040600254787e+01	8.153937500000001393e+00
6.700256535039665096e+01	7.581750000000001322e+00
6.599758174928692256e+01	7.009562500000000362e+00
6.500199531206381209e+01	6.425437500000001023e+00
6.399982850387626598e+01	5.769750000000001044e+00
6.300837396268577351e+01	5.197550000000000558e+00
6.199445919372386982e+01	4.684950000000000614e+00
6.099231021764188654e+01	4.124662500000000342e+00
6.000260011387808134e+01	3.719350000000000822e+00
5.899162194455720254e+01	3.337881250000000133e+00
5.799405938459174337e+01	2.896800000000000708e+00
5.699322022596721382e+01	2.527250000000000441e+00
5.600684194173237529e+01	2.145781250000000195e+00
5.500072026605172937e+01	1.740468750000000231e+00
5.399254889915295763e+01	1.418593750000000320e+00
5.300016309678102999e+01	1.120575000000000099e+00
5.200658962662798501e+01	9.417562500000001835e-01
5.099477203541387382e+01	7.391000000000000902e-01
5.000000000000001421e+01	5.722075000000000911e-01
4.900522796458611907e+01	4.410775000000000667e-01
4.799341037337202209e+01	3.218662500000000759e-01
4.699983690321897001e+01	1.788143750000000254e-01
4.600745110084704947e+01	1.311312500000000325e-01
4.499927973394826353e+01	1.192100000000000104e-01
4.399315805826764603e+01	7.152625000000001343e-02
4.300677977403279328e+01	3.576300000000000312e-02
4.200594061540825663e+01	0.000000000000000000e+00
4.100837805544279036e+01	0.000000000000000000e+00
3.999739988612191866e+01	-3.576300000000000312e-02
3.900768978235812057e+01	-2.384206250000000041e-02
3.800554080627613018e+01	-4.768406250000000596e-02
3.699162603731422649e+01	-5.960500000000000520e-02
3.600017149612374823e+01	-5.960500000000000520e-02
3.499800468793618791e+01	-1.192100000000000104e-02
3.400241825071308455e+01	-8.344687500000001756e-02
3.299743464960336325e+01	-3.576300000000000312e-02
3.200015959399743792e+01	4.768406250000000596e-02
3.099490073801667478e+01	4.768406250000000596e-02
2.999854313813676399e+01	0.000000000000000000e+00
2.899571357940967786e+01	5.960500000000000520e-02
2.800304150720424090e+01	9.536812500000001191e-02
2.700550746396192991e+01	5.960500000000000520e-02
2.600413567895195754e+01	7.152625000000001343e-02
2.500000000000001066e+01	4.768406250000000596e-02
2.399422449881285857e+01	3.576300000000000312e-02
2.300267275532106837e+01	2.384206250000000041e-02
2.199696185919446734e+01	-4.768406250000000596e-02
2.099327728040755048e+01	4.768406250000000596e-02
2.000691030791296043e+01	7.152625000000001343e-02
1.899735336691836807e+01	2.384206250000000041e-02
1.799451502575221795e+01	-3.576300000000000312e-02
1.699991660195314935e+01	-8.344687500000001756e-02
1.600233106387903703e+01	-7.152625000000001343e-02
1.500436520520623240e+01	-4.768406250000000596e-02
1.399665748359931783e+01	2.384206250000000041e-02
1.299496169662237222e+01	2.384206250000000041e-02
1.200238099700071892e+01	-5.960500000000000520e-02
1.100031422657207969e+01	-4.768406250000000596e-02
9.994818201607674979e+00	4.768406250000000596e-02
9.002394533727379411e+00	1.072893750000000063e-01
8.000056640203883518e+00	-4.768406250000000596e-02
6.998478384706766420e+00	-2.384206250000000041e-02
6.000979659367588148e+00	0.000000000000000000e+00
4.999264830149266814e+00	0.000000000000000000e+00
4.002080361526155095e+00	1.192100000000000104e-02
2.997486593354518725e+00	-3.576300000000000312e-02
1.999949980629662116e+00	1.192100000000000104e-02
1.000288127172020092e+00	1.192100000000000104e-02
3.749399456654643801e-31	0.000000000000000000e+00
-3.749399456654643801e-31	-8.344687500000001756e-02
-1.000288127172020092e+00	-4.768406250000000596e-02
-1.999949980629662116e+00	-1.192100000000000104e-02
-2.997486593354518725e+00	1.192100000000000104e-02
-4.002080361526155095e+00	2.384206250000000041e-02
-4.999264830149266814e+00	5.960500000000000520e-02
-6.000979659367588148e+00	7.152625000000001343e-02
-6.998478384706766420e+00	0.000000000000000000e+00
-8.000056640203883518e+00	-3.576300000000000312e-02
-9.002394533727379411e+00	3.576300000000000312e-02
-9.994818201607674979e+00	4.768406250000000596e-02
-1.100031422657207969e+01	0.000000000000000000e+00
-1.200238099700071892e+01	-4.768406250000000596e-02
-1.299496169662237222e+01	-1.192100000000000104e-02
-1.399665748359931783e+01	-3.576300000000000312e-02
-1.500436520520623240e+01	-8.344687500000001756e-02
-1.600233106387903703e+01	0.000000000000000000e+00
-1.699991660195314935e+01	4.768406250000000596e-02
-1.799451502575221795e+01	-1.192100000000000104e-02
-1.899735336691836807e+01	-4.768406250000000596e-02
-2.000691030791296043e+01	0.000000000000000000e+00
-2.099327728040755048e+01	-1.192100000000000104e-02
-2.199696185919446734e+01	0.000000000000000000e+00
-2.300267275532106837e+01	-1.311312500000000325e-01
-2.399422449881285857e+01	-1.668937500000000351e-01
-2.500000000000001066e+01	-8.344687500000001756e-02
-2.600413567895195754e+01	-2.384206250000000041e-02
-2.700550746396192991e+01	-1.192100000000000104e-02
-2.800304150720424090e+01	-1.192100000000000104e-02
-2.899571357940967786e+01	7.152625000000001343e-02
-2.999854313813676399e+01	5.960500000000000520e-02
-3.099490073801667478e+01	8.344687500000001756e-02
-3.200015959399743792e+01	1.192100000000000104e-02
-3.299743464960336325e+01	1.430518750000000228e-01
-3.400241825071308455e+01	4.768406250000000596e-02
-3.499800468793618791e+01	4.768406250000000596e-02
-3.600017149612374823e+01	0.000000000000000000e+00
-3.699162603731422649e+01	-5.960500000000000520e-02
-3.800554080627613018e+01	0.000000000000000000e+00
-3.900768978235812057e+01	-9.536812500000001191e-02
-3.999739988612191866e+01	-4.768406250000000596e-02
-4.100837805544279036e+01	-1.192100000000000104e-02
-4.200594061540825663e+01	7.152625000000001343e-02
-4.300677977403279328e+01	5.960500000000000520e-02
-4.399315805826764603e+01	0.000000000000000000e+00
-4.499927973394826353e+01	4.768406250000000596e-02
-4.600745110084704947e+01	9.536812500000001191e-02
-4.699983690321897001e+01	1.311312500000000325e-01
-4.799341037337202209e+01	1.311312500000000325e-01
-4.900522796458611907e+01	1.549725000000000130e-01
-5.000000000000001421e+01	1.192100000000000104e-01
-5.099477203541387382e+01	4.768406250000000596e-02
-5.200658962662798501e+01	3.576300000000000312e-02
-5.300016309678102999e+01	-3.576300000000000312e-02
-5.399254889915295763e+01	-4.768406250000000596e-02
-5.500072026605172937e+01	4.768406250000000596e-02
-5.600684194173237529e+01	1.072893750000000063e-01
-5.699322022596721382e+01	1.192100000000000104e-02
-5.799405938459174337e+01	-3.576300000000000312e-02
-5.899162194455720254e+01	0.000000000000000000e+00
-6.000260011387808134e+01	-5.960500000000000520e-02
-6.099231021764188654e+01	-1.788143750000000254e-01
-6.199445919372386982e+01	-1.788143750000000254e-01
-6.300837396268577351e+01	-2.503412500000000152e-01
-6.399982850387626598e+01	-3.337875000000000703e-01
-6.500199531206381209e+01	-3.695500000000000451e-01
-6.599758174928692256e+01	-3.933937500000000420e-01
-6.700256535039665096e+01	-4.053143750000000600e-01
-6.799984040600254787e+01	-4.887612500000000360e-01
-6.900509926198333233e+01	-5.483656250000000787e-01
-7.000145686186324667e+01	-7.152562500000000378e-01
-7.100428642059031858e+01	-8.463937500000000558e-01
-7.199695849279575555e+01	-9.894437500000001773e-01
-7.299449253603806653e+01	-1.204018750000000137e+00
-7.399586432104801759e+01	-1.382831250000000178e+00
-7.500000000000001421e+01	-1.490125000000000366e+00
-7.600577550118715919e+01	-1.621256250000000065e+00
-7.699732724467892808e+01	-1.811993750000000070e+00
-7.800303814080552911e+01	-1.978887500000000355e+00
-7.900672271959246018e+01	-2.205381250000000293e+00
