# Time [ps]	Differential current [a.u.]
-2.399999999999996358e+00	-5.841908028913023881e-02
-2.366666666666657814e+00	-1.374564899359330059e-02
-2.339999999999994085e+00	6.872838910068391344e-03
-2.306666666666667087e+00	-2.405481367242957511e-02
-2.279999999999991811e+00	-2.405481367242957511e-02
-2.253333333333328081e+00	-6.185549253752856136e-02
-2.220000000000001084e+00	-5.498266804073190933e-02
-2.193333333333325808e+00	-4.123694698077990523e-02
-2.159999999999998810e+00	1.374564899359330059e-02
-2.133333333333335080e+00	-6.872838910068391344e-03
-2.099999999999996536e+00	6.529183271956817691e-02
-2.066666666666657992e+00	-2.405481367242957511e-02
-2.039999999999994262e+00	2.061847349038995261e-02
-2.006666666666667709e+00	-4.810969941121785720e-02
-1.979999999999991989e+00	-3.436412248398325320e-02
-1.946666666666665435e+00	-2.749137005354530469e-02
-1.920000000000001705e+00	-1.718206124199162660e-02
-1.893333333333325985e+00	-2.061847349038995261e-02
-1.859999999999999432e+00	-2.405481367242957511e-02
-1.833333333333335702e+00	-3.092771023558493065e-02
-1.799999999999997158e+00	6.872838910068391344e-03
-1.766666666666658614e+00	-7.560121359748057934e-02
-1.739999999999994884e+00	-5.841908028913023881e-02
-1.706666666666668331e+00	-1.374564899359330059e-02
-1.679999999999992610e+00	-2.061847349038995261e-02
-1.646666666666666057e+00	-1.374564899359330059e-02
-1.620000000000002327e+00	-3.780053473238157574e-02
-1.593333333333326607e+00	0.000000000000000000e+00
-1.560000000000000053e+00	-3.436412248398325320e-02
-1.533333333333324333e+00	-6.872824496796650640e-02
-1.499999999999997780e+00	-5.841908028913023881e-02
-1.466666666666659236e+00	-6.185549253752856136e-02
-1.439999999999995506e+00	-8.934643019292164146e-02
-1.406666666666668508e+00	-7.560121359748057934e-02
-1.379999999999993232e+00	-1.202744286939413931e-01
-1.346666666666666234e+00	-9.621939882243571440e-02
-1.320000000000002505e+00	-1.443294585654470719e-01
-1.293333333333327229e+00	-6.529183271956817691e-02
-1.260000000000000231e+00	-8.247418222699462453e-02
-1.233333333333324955e+00	-6.529183271956817691e-02
-1.199999999999997957e+00	-1.099653360814638187e-01
-1.173333333333334227e+00	-9.965552280539921592e-02
-1.139999999999995683e+00	-1.271473973234554522e-01
-1.106666666666669130e+00	-9.278327483947219900e-02
-1.079999999999993410e+00	-9.621939882243571440e-02
-1.046666666666666856e+00	-1.065284914349132750e-01
-1.019999999999991136e+00	-1.065284914349132750e-01
-9.933333333333275172e-01	-1.443294585654470719e-01
-9.600000000000009637e-01	-8.247418222699462453e-02
-9.333333333333252435e-01	-1.134014600644273202e-01
-8.999999999999986899e-01	-1.718206124199162660e-02
-8.733333333333349602e-01	4.467328716281952772e-02
-8.399999999999964162e-01	4.810969941121785720e-02
-8.066666666666578722e-01	1.099653360814638187e-01
-7.799999999999941425e-01	2.130569828698265500e-01
-7.466666666666673668e-01	2.611677632764249357e-01
-7.199999999999918687e-01	3.058402577092987351e-01
-6.933333333333281390e-01	3.745685026772652138e-01
-6.600000000000013634e-01	4.742254668098385140e-01
-6.333333333333258652e-01	5.257716505358134285e-01
-5.999999999999990896e-01	6.048082674526704672e-01
-5.733333333333353599e-01	6.769726364036006139e-01
-5.399999999999968159e-01	6.700996677740863605e-01
-5.066666666666582719e-01	7.422618747342553114e-01
-4.799999999999945421e-01	7.216436895093002457e-01
-4.466666666666677665e-01	7.388243094241178088e-01
-4.199999999999922684e-01	6.804087603865639489e-01
-3.866666666666654928e-01	5.395168671312544628e-01
-3.600000000000017630e-01	5.120257132767853658e-01
-3.333333333333262649e-01	4.054957805146979788e-01
-2.999999999999994893e-01	2.474218260173968176e-01
-2.733333333333357595e-01	1.134014600644273202e-01
-2.399999999999972156e-01	-5.841908028913023881e-02
-2.066666666666586716e-01	-2.061840142403124909e-01
-1.799999999999949418e-01	-4.020596565317344218e-01
-1.466666666666682772e-01	-4.879706834052795483e-01
-1.199999999999926681e-01	-6.082443914356340242e-01
-8.666666666666600349e-02	-7.560121359748056546e-01
-6.000000000000227374e-02	-8.831588126346739953e-01
-3.333333333332666459e-02	-9.759442494649073208e-01
0.000000000000000000e+00	-1.000000000000000000e+00
2.666666666667560914e-02	-9.725066841547698182e-01
6.000000000000227374e-02	-9.656315535344944800e-01
9.333333333334081772e-02	-9.347078790149970784e-01
1.200000000000045475e-01	-8.797212473245363817e-01
1.533333333333312676e-01	-7.560121359748056546e-01
1.800000000000068212e-01	-6.357355452901031212e-01
2.133333333333335413e-01	-4.639163741973609256e-01
2.399999999999972711e-01	-3.436405041762455315e-01
2.666666666666728247e-01	-1.615115198074386915e-01
2.999999999999995448e-01	-4.123694698077990523e-02
3.266666666666750984e-01	1.512024271949611587e-01
3.600000000000018185e-01	3.470773488227961168e-01
3.866666666666655483e-01	4.295508103862036298e-01
4.200000000000040923e-01	4.776615907928020155e-01
4.533333333333308124e-01	5.670080209857236708e-01
4.800000000000064215e-01	6.288632973241761182e-01
5.133333333333330861e-01	6.357355452901031212e-01
5.400000000000086953e-01	6.735357917570499175e-01
5.666666666666724250e-01	6.632266991445723292e-01
5.999999999999990896e-01	6.563544511786452151e-01
6.266666666666746988e-01	6.288632973241761182e-01
6.600000000000013634e-01	5.085895892938218088e-01
6.866666666666650931e-01	4.398613443258552747e-01
7.200000000000036371e-01	3.642594100647876809e-01
7.533333333333421811e-01	3.092771023558492649e-01
7.800000000000059108e-01	2.027478902573489894e-01
8.133333333333325754e-01	6.529183271956817691e-02
8.400000000000081846e-01	5.498266804073190933e-02
8.666666666666719143e-01	-5.154611165961617975e-02
8.999999999999985789e-01	-1.512024271949611587e-01
9.266666666666741881e-01	-2.817859485013800569e-01
9.600000000000008527e-01	-3.024041337263352336e-01
9.866666666666645824e-01	-2.886589171308941437e-01
1.020000000000003126e+00	-3.539503174523100926e-01
1.053333333333341670e+00	-3.058402577092987351e-01
1.080000000000005400e+00	-3.367682562103184729e-01
1.113333333333332176e+00	-3.505134728057595628e-01
1.140000000000007674e+00	-3.127132263388128219e-01
1.173333333333334449e+00	-2.371127334049192570e-01
1.199999999999998179e+00	-1.546385511779246325e-01
1.226666666666673677e+00	-8.591030620995813993e-02
1.260000000000000453e+00	3.092771023558493065e-02
1.286666666666664183e+00	1.030923674519497631e-02
1.320000000000002727e+00	7.216436895093003567e-02
1.353333333333341271e+00	6.872824496796650640e-02
1.380000000000005000e+00	1.271473973234554522e-01
1.413333333333331776e+00	1.340203659529695113e-01
1.440000000000007274e+00	1.168383047109778916e-01
1.473333333333334050e+00	1.030923674519497596e-01
1.499999999999997780e+00	9.621939882243571440e-02
1.526666666666673278e+00	6.529183271956817691e-02
1.560000000000000053e+00	2.749137005354530469e-02
1.586666666666675551e+00	4.810969941121785720e-02
1.620000000000002327e+00	2.061847349038995261e-02
1.653333333333340871e+00	6.185549253752856136e-02
1.680000000000004601e+00	7.560121359748057934e-02
1.713333333333331154e+00	1.340203659529695113e-01
1.740000000000006875e+00	1.546385511779246325e-01
1.773333333333333428e+00	2.027478902573489894e-01
1.800000000000009148e+00	1.271473973234554522e-01
1.826666666666672878e+00	1.340203659529695113e-01
1.860000000000011422e+00	1.580746751608881340e-01
1.893333333333337976e+00	4.810969941121785720e-02
1.920000000000013696e+00	5.498266804073190933e-02
1.953333333333340249e+00	2.405481367242957511e-02
1.979999999999992433e+00	7.560121359748057934e-02
2.006666666666667709e+00	3.436412248398325320e-02
2.039999999999994706e+00	-1.030923674519497631e-02
2.066666666666669983e+00	1.030923674519497631e-02
2.099999999999996980e+00	3.780053473238157574e-02
2.126666666666672256e+00	6.185549253752856136e-02
2.159999999999999254e+00	6.185549253752856136e-02
2.186666666666674530e+00	1.168383047109778916e-01
2.220000000000001528e+00	1.890026736619078995e-01
2.246666666666676804e+00	1.718206124199162799e-01
2.280000000000003801e+00	9.278327483947219900e-02
2.313333333333330355e+00	1.099653360814638187e-01
2.340000000000006075e+00	1.477655825484105734e-01
2.373333333333332629e+00	1.271473973234554522e-01
2.400000000000008349e+00	4.467328716281952772e-02
2.433333333333334902e+00	2.061847349038995261e-02
2.460000000000010623e+00	0.000000000000000000e+00
2.493333333333337176e+00	-5.841908028913023881e-02
2.520000000000012896e+00	-1.065284914349132750e-01
2.553333333333339450e+00	-6.529183271956817691e-02
2.580000000000015170e+00	-1.202744286939413931e-01
2.606666666666666909e+00	-2.130569828698265500e-01
2.639999999999993907e+00	-1.683837677733657501e-01
2.666666666666669183e+00	-1.924387976448714288e-01
2.699999999999996181e+00	-2.474218260173968176e-01
2.726666666666671457e+00	-2.164938275163770798e-01
2.759999999999998455e+00	-2.577309186298744059e-01
2.786666666666673731e+00	-2.646038872593884927e-01
2.820000000000000728e+00	-2.096208588868630485e-01
2.846666666666676004e+00	-2.164938275163770798e-01
2.880000000000003002e+00	-2.027478902573489894e-01
2.913333333333329556e+00	-2.027478902573489894e-01
2.940000000000005276e+00	-1.546385511779246325e-01
2.973333333333331829e+00	-1.855658290153573697e-01
3.000000000000007550e+00	-1.443294585654470719e-01
3.033333333333334103e+00	-1.202744286939413931e-01
3.060000000000009823e+00	-9.621939882243571440e-02
3.093333333333336377e+00	-4.123694698077990523e-02
3.120000000000012097e+00	1.374564899359330059e-02
3.153333333333338651e+00	6.872838910068391344e-03
3.180000000000014371e+00	1.030923674519497631e-02
3.206666666666666110e+00	6.185549253752856136e-02
3.239999999999992664e+00	5.498266804073190933e-02
3.266666666666668384e+00	-2.061847349038995261e-02
3.299999999999994937e+00	6.872824496796650640e-02
3.326666666666670658e+00	9.278327483947219900e-02
3.359999999999997211e+00	6.529183271956817691e-02
3.386666666666672931e+00	6.529183271956817691e-02
3.419999999999999485e+00	1.065284914349132750e-01
3.446666666666675205e+00	1.683837677733657501e-01
3.480000000000001759e+00	1.477655825484105734e-01
3.506666666666677479e+00	1.305835213064189537e-01
3.540000000000004032e+00	1.099653360814638187e-01
3.573333333333331030e+00	1.030923674519497596e-01
3.600000000000006306e+00	9.278327483947219900e-02
3.633333333333333304e+00	9.278327483947219900e-02
3.660000000000008580e+00	5.498266804073190933e-02
3.693333333333335577e+00	4.810969941121785720e-02
3.720000000000010854e+00	1.374564899359330059e-02
3.753333333333337851e+00	4.810969941121785720e-02
3.780000000000013127e+00	5.841908028913023881e-02
3.813333333333340125e+00	-6.872824496796650640e-02
3.839999999999991864e+00	-6.185549253752856136e-02
3.866666666666667584e+00	-4.123694698077990523e-02
3.899999999999994138e+00	-7.560121359748057934e-02
3.926666666666669858e+00	-1.374564899359330128e-01
3.959999999999996412e+00	-9.965552280539921592e-02
3.986666666666672132e+00	-5.841908028913023881e-02
4.019999999999997797e+00	-8.247418222699462453e-02
4.046666666666673962e+00	-1.065284914349132750e-01
4.080000000000000071e+00	-1.134014600644273202e-01
4.106666666666676235e+00	-1.649476437904022208e-01
4.140000000000002345e+00	-1.065284914349132750e-01
4.173333333333330231e+00	-5.841908028913023881e-02
4.200000000000004619e+00	-9.621939882243571440e-02
4.233333333333332504e+00	-6.529183271956817691e-02
4.260000000000006892e+00	-3.436412248398325320e-02
4.293333333333334778e+00	-5.841908028913023881e-02
4.320000000000009166e+00	6.872838910068391344e-03
4.353333333333337052e+00	0.000000000000000000e+00
4.380000000000011440e+00	3.436419455034195672e-03
4.413333333333339326e+00	3.780053473238157574e-02
4.440000000000013713e+00	6.185549253752856136e-02
4.466666666666666785e+00	1.374564899359330059e-02
